# autogenerated
# Stellar Evolution Exam Questions
# Format: difficulty|points|prompt|answer
# Difficulty levels: BEGINNER, INTERMEDIATE, ADVANCED

# BEGINNER QUESTIONS - Basic Concepts and Definitions

BEGINNER|10|What is the primary fuel for nuclear fusion in main sequence stars?|Hydrogen
BEGINNER|10|What type of star is the Sun classified as?|Main sequence star
BEGINNER|10|What color are the coolest stars on the main sequence?|Red
BEGINNER|10|What force causes a protostar to collapse and form?|Gravity
BEGINNER|10|What is a cloud of gas and dust in space where stars form called?|Nebula
BEGINNER|10|What pressure supports a white dwarf against gravitational collapse?|Electron degeneracy pressure
BEGINNER|10|What is the explosive death of a massive star called?|Supernova
BEGINNER|10|What is the approximate mass limit for a white dwarf in solar masses?|1.4 solar masses
BEGINNER|10|What stage comes immediately after the main sequence for Sun-like stars?|Red giant
BEGINNER|10|What is the remnant left after a Sun-like star dies?|White dwarf
BEGINNER|10|What fusion process occurs in the core of main sequence stars?|Hydrogen fusion to helium
BEGINNER|10|What is the main heat transfer mechanism in white dwarf interiors?|Conduction

# INTERMEDIATE QUESTIONS - Evolutionary Processes and Relationships

INTERMEDIATE|20|What is the mass limit called that determines whether a white dwarf is stable?|Chandrasekhar limit
INTERMEDIATE|20|What process begins when a main sequence star exhausts hydrogen in its core?|Hydrogen shell burning
INTERMEDIATE|20|What type of supernova results from a white dwarf exceeding the Chandrasekhar limit?|Type Ia supernova
INTERMEDIATE|20|What happens to a star's luminosity as it moves from main sequence to red giant?|Luminosity increases
INTERMEDIATE|20|What element begins fusing in the core during the red giant phase?|Helium
INTERMEDIATE|20|What is the region to the right of the Hayashi line called in stellar evolution?|Forbidden region
INTERMEDIATE|20|What does a planetary nebula represent in stellar evolution?|Ejected outer layers of a dying low-mass star
INTERMEDIATE|20|What keeps a planetary nebula visually bright?|Ultraviolet radiation from the hot white dwarf
INTERMEDIATE|20|What timescale does a protostar contract on when descending the Hayashi track?|Kelvin-Helmholtz timescale
INTERMEDIATE|20|What is the minimum stellar mass required for helium fusion to occur?|0.6 solar masses
INTERMEDIATE|20|What process causes Type II supernovae in massive stars?|Core collapse
INTERMEDIATE|20|What fusion product accumulates at the center of massive stars before collapse?|Iron
INTERMEDIATE|20|What phenomenon occurs when a white dwarf accretes matter and undergoes surface fusion?|Nova
INTERMEDIATE|20|What determines whether a supernova remnant becomes a neutron star or black hole?|Core mass

# ADVANCED QUESTIONS - Detailed Physics and Complex Processes

ADVANCED|30|What physical principle prevents further compression in electron degenerate matter?|Pauli exclusion principle
ADVANCED|30|What evolutionary track does a star follow when fully convective during pre-main sequence?|Hayashi track
ADVANCED|30|What is the approximate mass range for stars that undergo electron capture supernovae?|8 to 12 solar masses
ADVANCED|30|What nuclear process begins immediately before oxygen fusion in massive stars?|Neon burning
ADVANCED|30|What decay chain provides energy to Type II supernova light curves weeks after explosion?|Nickel-56 to Cobalt-56 to Iron-56
ADVANCED|30|What causes pair-instability supernovae in the most massive stars?|Photon pair production reducing pressure support
ADVANCED|30|What physical process converts protons to neutrons during core collapse?|Electron capture
ADVANCED|30|Why does the virial theorem require core heating during gravitational contraction?|Half of gravitational energy heats the core, half is radiated away
ADVANCED|30|What is the main reason stellar evolution is more predictive than star formation theory?|Stars are in hydrostatic equilibrium with well-defined boundary conditions
ADVANCED|30|What causes the steep mass-luminosity relation on the zero-age main sequence?|Higher core temperature and pressure in more massive stars
ADVANCED|30|What happens to stellar radius during contraction along the Hayashi line?|Radius decreases while luminosity decreases
ADVANCED|30|What mass limit separates stars that become white dwarfs from those that explode?|Approximately 8 solar masses initial mass
ADVANCED|30|What process makes Type Ia supernovae useful as standard candles in cosmology?|They have nearly uniform peak luminosity
ADVANCED|30|Why can iron not provide energy through nuclear fusion in stellar cores?|Iron has the highest binding energy per nucleon
ADVANCED|30|What prevents low-mass red dwarfs from becoming red giants?|They remain fully convective and burn hydrogen throughout their entire mass
